"NAVN","PARTI","STORKREDS","FACEBOOKSIDE","fbname","likes","talking.about","date"
"Jesper Krarup","Dansk Folkeparti","Fyns Storkreds","https://www.facebook.com/pages/Jesper-Krarup-Dansk-Folkeparti/159205840902830?ref=br_rs","Jesper Krarup, Dansk Folkeparti",1807,702,"08-06-2015"
"Jesper Nørgaard Kjær","Alternativet","Østjyllands Storkreds","https://www.facebook.com/jesperalternativet","Jesper Nørgaard Kjær - Alternativet",117,284,"08-06-2015"
"Jesper Petersen","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/MFJesper","Jesper Petersen",5222,1253,"08-06-2015"
"Jette Philipsen","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/pages/Jette-Philipsen-i-Folketinget/1385629308350601","Jette Philipsen i Folketinget",164,68,"08-06-2015"
"Jimmy Eriksen","Liberal Alliance","Fyns Storkreds","https://www.facebook.com/jimmy.eriksen.7","Jimmy Steen Eriksen",387,58,"08-06-2015"
"Joachim B. Olsen","Liberal Alliance","Københavns Omegns Storkreds","https://www.facebook.com/pages/Joachim-B-Olsen/164752600281593","Joachim B. Olsen",21047,9443,"08-06-2015"
"Johanne Schmidt-Nielsen","Enhedslisten","Københavns Storkreds","http://www.facebook.com/johanneschmidt","Johanne Schmidt-Nielsen",114163,65191,"08-06-2015"
"John E. Nyborg","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/brugforjohn","John Nyborg",726,474,"08-06-2015"
"Johnny F. Andresen","Dansk Folkeparti","Østjyllands Storkreds","https://www.facebook.com/dfjohnny","DF - Johnny F. Andresen",264,234,"08-06-2015"
"Johnny Heinmann","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/pages/Johnny-Heinmann-Liberal-Alliance/1512050925714726","Johnny Heinmann - Liberal Alliance",279,179,"08-06-2015"
"Jonas Dahl","Socialistisk Folkeparti","Østjyllands storkreds","http://www.facebook.com/jonasdahl.dk","Jonas Dahl",4814,679,"08-06-2015"
"Jonathan Nielsen","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/folketingskandidat","Jonathan Nielsen",1227,438,"08-06-2015"
"Jonna Buch Andersen","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/JBAradikalevenstre","Jonna Buch Andersen, Det Radikale Venstre",224,61,"08-06-2015"
"Josephine Fock","Alternativet","Østjyllands Storkreds","https://www.facebook.com/JosephineFockAlternativet","Josephine Fock",1816,1364,"08-06-2015"
"Julie Gottschalk","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/juliegottschalk.df","Julie Gottschalk - Dansk Folkeparti",900,311,"08-06-2015"
"Jørn Traberg Pedersen","Alternativet","Vestjyllands storkreds","https://www.facebook.com/pages/J%C3%B8rn-Trabjerg-Pedersen/1599919910265798","Jørn Trabjerg Pedersen",195,170,"08-06-2015"
"Kaare Dybvad","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/kaaredybvad","Kaare Dybvad",2495,1061,"08-06-2015"
"Karen Ellemann","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/karen.ellemann","Karen Ellemann",6837,600,"08-06-2015"
"Karen Johanne Klint","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/KarenKlintSocialdemokraterne","Karen J. Klint - Socialdemokraterne",810,212,"08-06-2015"
"Karen Melchior","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/KarenMelchiorDK","Karen Melchior",1902,601,"08-06-2015"
"Karin Nødgaard","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/karinnodgaard","Karin Nødgaard",630,162,"08-06-2015"
"Karina Adsbøl","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Karina-Adsb%C3%B8l/1546433252297862","Karina Adsbøl",983,401,"08-06-2015"
"Karina Bergmann","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/KarinaBergmannLA","Karina Bergmann",779,310,"08-06-2015"
"Karina Lorentzen","Socialistisk Folkeparti","Sydjyllands storkreds","https://www.facebook.com/karinalorentzendehnhardt","Karina Lorentzen Dehnhardt",2350,766,"08-06-2015"
"KARINA ROHRBERG JESSEN","Venstre","Københavns Storkreds","https://www.facebook.com/KarinaRohrbergJessen","Karina Rohrberg Jessen",1029,406,"08-06-2015"
"Karl Magnus Bidstrup","Alternativet","Fyns Storkreds","https://www.facebook.com/karlmagnusbidstrup.alternativet","Karl Magnus Bidstrup",435,217,"08-06-2015"
"Karl Plougstrup-Petersen","Venstre","Sydjyllands Storkreds","https://www.facebook.com/KarlPlougstrupPetersen","Karl Plougstrup-Petersen i Folketinget",123,92,"08-06-2015"
"Karsten Lauritsen","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/stem.karsten.lauritsen","Karsten Lauritsen",347,7,"08-06-2015"
"Karsten Lauritzen","Venstre","Nordjyllands Storkreds","https://www.facebook.com/stemlauritzen","Karsten Lauritzen",7026,1670,"08-06-2015"
"Karsten Nonbo","Venstre","Sjællands Storkreds","https://www.facebook.com/karstennonbov","Karsten Nonbo",316,407,"08-06-2015"
"Karsten Steen Andersen","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/KarstenAndersenLAGribskov","Karsten Andersen - Folketings kandidat Liberal Alliance Gribskov",128,23,"08-06-2015"
"Kashif Ahmad","Nationalpartiet","Københavns Storkreds","https://www.facebook.com/KashifAhmadDK","Kashif Ahmad",6249,4312,"08-06-2015"
"Kasper Heumann Kristensen","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/KasperHeumannKristensen","Kasper Heumann Kristensen",1229,983,"08-06-2015"
"Kasper Nordborg Kiær","Socialistisk Folkeparti","Københavns storkreds","https://www.facebook.com/KasperNordborgKiaer","Kasper Nordborg Kiær",769,306,"08-06-2015"
"Kasper Roug","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/folketingskandidata","Kasper Roug",899,425,"08-06-2015"
"Katarina Ammitzbøll","Det Konservative Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/Katarina-Ammitzb%C3%B8ll/1541220236121470","Katarina Ammitzbøll",734,239,"08-06-2015"
"Kathrine Jensen","Socialistisk Folkeparti","Københavns storkreds","https://www.facebook.com/sfkathrinejensen","Kathrine Jensen",129,55,"08-06-2015"
"Keld Lorenzen","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/pages/Keld-Lorenzen-i-Folketinget/211679818979853","Keld Lorenzen",147,51,"08-06-2015"
"Kenneth F. Christensen","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/pages/Kenneth-F-Christensen/377471662422956","Kenneth F. Christensen",244,103,"08-06-2015"
"Kenneth Fredslund Petersen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Kenneth-Fredslund-Petersen-Dansk-Folkeparti/1493650460890885","Kenneth Fredslund Petersen - Dansk Folkeparti",1286,936,"08-06-2015"
"Kenneth Kristensen Berth","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/kennethkristensenberth","Kenneth Kristensen Berth",1813,569,"08-06-2015"
"Kent Weiss Holst","Enhedslisten","Nordsjællands Storkreds","https://www.facebook.com/FolketingsKent","Kent Weiss Holst",97,84,"08-06-2015"
"Kim Hyttel","Alternativet","Sydjyllands Storkreds","https://www.facebook.com/KimHyttelAlternativet","Kim Hyttel",269,39,"08-06-2015"
"Kirsten Brosbøl","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/kirsten.brosbol","Kirsten Brosbøl",7130,1797,"08-06-2015"
"Kirstine van Sabben","Det Konservative Folkeparti","Bornholms Storkreds","https://www.facebook.com/sabbendk","Kirstine van Sabben - Politiker i den virkelige verden",377,59,"08-06-2015"
"Kisser Franciska Lehnert","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/KisserLA","Kisser Franciska Lehnert Politiker - Liberal Alliance",520,95,"08-06-2015"
"Klaus Hjulmand","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/HjulmandLA","Klaus Hjulmand",187,22,"08-06-2015"
"Klaus Markussen","Venstre","Nordsjællands Storkreds","https://www.facebook.com/pages/Klaus-Markussen-i-Folketinget/170651086300657","Klaus Markussen i Folketinget",269,168,"08-06-2015"
"Knud Damgaard","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/knuddla","Knud Damgaard",619,90,"08-06-2015"
"Kristian Andersen","Venstre","Nordjyllands Storkreds","https://www.facebook.com/stemkristian","Kristian Andersen - Nordjylland",2597,252,"08-06-2015"
"Kristian Hegaard","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/Khegaard","Kristian Hegaard",4680,2417,"08-06-2015"
"Kristian Jensen","Venstre","Vestjyllands Storkreds","https://www.facebook.com/kristianjensen.venstre","Kristian Jensen",16483,6121,"08-06-2015"
"Kristian Thulesen Dahl","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/pages/Kristian-Thulesen-Dahl/531761723507375","Kristian Thulesen Dahl",28982,31593,"08-06-2015"
"Kristian Tørning","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/kristiantorning","Kristian Tørning",2034,1194,"08-06-2015"
"Kristian Westfall","Socialdemokratiet","Københavns Storkreds","https://www.facebook.com/kristian.w.jensen","Kristian Westfall",1522,256,"08-06-2015"
"Kristina Jørgensen","Dansk Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/Kristina.DanskFolkeparti?ref=br_tf","Kristina Jørgensen - Dansk Folkeparti",1210,639,"08-06-2015"
"Kristoffer Hjort Storm","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/KristofferHjortStorm","Kristoffer Hjort Storm",861,339,"08-06-2015"
"Kåre Traberg Smidt","Venstre","Københavns Storkreds","https://www.facebook.com/kaaretrabergsmidt","Kåre Traberg Smidt",2006,2189,"08-06-2015"
"Laila Lauridsen","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/lailalauridsen","Laila Lauridsen",1091,442,"08-06-2015"
"Lars Barfoed","Det Konservative Folkeparti","Københavns Storkreds","http://www.facebook.com/LarsBarfoed.Konservative","Lars Barfoed",11443,1184,"08-06-2015"
"Lars Chr. Lilleholt","Venstre","Fyns Storkreds","http://www.facebook.com/lilleholt","Lars Chr. Lilleholt",4555,2234,"08-06-2015"
"Lars Løkke Rasmussen","Venstre","Sjællands Storkreds","http://www.facebook.com/larsloekke","Lars Løkke Rasmussen",165598,59305,"08-06-2015"
"Laura Lindahl","Liberal Alliance","Københavns Storkreds","https://www.facebook.com/politikerlauralindahl","Laura Lindahl",7846,2145,"08-06-2015"
"Lea Jannerup Lie","Alternativet","Fyns Storkreds","https://www.facebook.com/pages/Lea-Lie/427907994037061","Lea Lie",312,163,"08-06-2015"
"Lea Kielsholm","Enhedslisten","Vestjyllands Storkreds","https://www.facebook.com/lea.maria.kielsholm","Lea Maria Kielsholm",401,284,"08-06-2015"
"Leif Lahn Jensen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/LeifLahn","Leif Lahn Jensen",3318,808,"08-06-2015"
"Leif Mikkelsen","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/leif.mikkelsen.524","Leif Mikkelsen",3805,525,"08-06-2015"
"Lene Foged","Liberal Alliance","Vestjyllands Storkreds","https://www.facebook.com/pages/Lene-Foged-Folketingskandidat/441211119381442","Lene Foged",158,63,"08-06-2015"
"Line Vanggaard","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/LineVanggaardPedersen","Line Vanggaard Pedersen",734,420,"08-06-2015"
"Lisbeth Bech Poulsen","Socialistisk Folkeparti","Nordjyllands storkreds","https://www.facebook.com/lisbethbechpoulsen","Lisbeth Bech Poulsen",5653,658,"08-06-2015"
"Lise Bech","Dansk Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/Lise.Bech.DF","Lise Bech - Dansk Folkeparti",1904,1125,"08-06-2015"
"Lise Müller","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/pages/Lise-M%C3%BCller/145989963343","Lise Müller",720,100,"08-06-2015"
"Liselott Blixt","Dansk Folkeparti","Sjællands Storkreds","https://www.facebook.com/Pialiselottblixt","Liselott Blixt",1774,1286,"08-06-2015"
"Liv Holm Andersen","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/pages/Liv-Holm-Andersen/308871605863281","Liv Holm Andersen",2475,410,"08-06-2015"
"Lone Loklindt","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/lone.loklindt","Lone Loklindt",1848,551,"08-06-2015"
"Lotte Rod","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/lotterod","Lotte Rod",2690,836,"08-06-2015"
"Louise Lundbeck Krog","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/kroglouise","Louise Lundbeck Krog",102,19,"08-06-2015"
"Lynge Korsgaard","Alternativet","Østjyllands Storkreds","https://www.facebook.com/lyngekorsgaard.alternativet","Lynge Korsgaard - Alternativet",627,369,"08-06-2015"
"Mads Fuglede","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/mads.fuglede","Mads Fuglede",6774,2659,"08-06-2015"
"Mads Rørvig","Venstre","Vestjyllands Storkreds","https://www.facebook.com/madsrorvig.dk","Mads Rørvig",1837,1235,"08-06-2015"
"Magnus Heunicke","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/heunicke","Magnus Heunicke",12918,3213,"08-06-2015"
"Mai Mercado","Det Konservative Folkeparti","Fyns Storkreds","https://www.facebook.com/maimercado.dk","Mai Mercado",8338,3042,"08-06-2015"
"Maja Panduro","Socialdemokratiet","Østjyllands Storkreds","http://da-dk.facebook.com/majapanduro","Maja Panduro",6318,2014,"08-06-2015"
"Maja Wolff Albrechtsen","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/albrechtsenmaja","Maja Albrechtsen",298,182,"08-06-2015"
"Malene Ravn Neumann","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/maleneravnneumann","Malene Ravn Neumann i Folketinget",624,185,"08-06-2015"
"Malene Rye Andersen","Enhedslisten","Fyns Storkreds","https://www.facebook.com/pages/Malene-Rye-Andersen-Enhedslisten/448899691891792","Malene Rye Andersen, folketingskandidat for Enhedslisten 2015",119,10,"08-06-2015"
"Malte Bang","Enhedslisten","Vestjyllands Storkreds","https://www.facebook.com/MalteBang1","Malte Bang",1280,141,"08-06-2015"
"Malte Larsen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/stemMalteLarsenIfolketinget","Malte Larsen i Folketinget",811,287,"08-06-2015"
"Manu Sareen","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/manu.sareen","Manu Sareen",21597,4694,"08-06-2015"
"Marcus Knuth","Venstre","Sjællands Storkreds","https://www.facebook.com/marcusknuth100","Marcus Knuth",307,34,"08-06-2015"
"Maria Reumert Gjerding","Enhedslisten","Nordsjællands Storkreds","https://www.facebook.com/maria.gjerding","Maria Reumert Gjerding",1828,1133,"08-06-2015"
"Mariann Nørgaard","Venstre","Nordjyllands Storkreds","https://www.facebook.com/mariannnoergaard","Mariann Nørgaard",811,379,"08-06-2015"
"Marianne Jelved","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/jelved","Marianne Jelved",8103,1539,"08-06-2015"
"Marie Yvonne Rasmussen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/pages/Marie-Yvonne-Rasmussen/186600161419","Marie Yvonne Rasmussen",428,17,"08-06-2015"
"Mark Grossmann","Venstre","Fyns Storkreds","https://www.facebook.com/markgrossmann.politiker","Mark Grossmann",873,243,"08-06-2015"
"Marlene Borst Hansen","Radikale Venstre","Sydjyllands Storkreds","https://www.facebook.com/pages/Marlene-Borst-Hansen/1495181064054338","Marlene Borst Hansen",2024,504,"08-06-2015"
"Martin Geertsen","Venstre","Københavns Storkreds","https://www.facebook.com/martin.geertsen","Martin Geertsen",9787,6221,"08-06-2015"
"Martin Kusk Madsen","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/McKusk","Martin K. Madsen",2006,819,"08-06-2015"
"Martin Lidegaard","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/martin.lidegaard","Martin Lidegaard",9402,2810,"08-06-2015"
"Mathias Mogensen Brosbøl","KristenDemokraterne","Østjyllands storkreds","https://www.facebook.com/mathiasbrosboelKD","Mathias M. Brosbøl",140,252,"08-06-2015"
"Mathias von Jessen","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/mathiasvjessen","Mathias von Jessen",417,443,"08-06-2015"
"Mattias Tesfaye","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/stemtesfaye","Mattias Tesfaye",16549,5069,"08-06-2015"
"May-Britt Kattrup","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/mbkattrup","May-Britt Kattrup",453,107,"08-06-2015"
"Merete Riisager","Liberal Alliance","Fyns Storkreds","https://www.facebook.com/merete.riisager","Merete Riisager",11350,7261,"08-06-2015"
"Mette Abildgaard","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/abildgaard.mette","Mette Abildgaard",3713,912,"08-06-2015"
"Mette Bock","Liberal Alliance","Sydjyllands Storkreds","https://www.facebook.com/mette.bock.5","Mette Bock",8421,3010,"08-06-2015"
"Mette Frederiksen","Socialdemokratiet","Københavns Omegns Storkreds","https://www.facebook.com/mettefrederiksen.dk","Mette Frederiksen",29803,17878,"08-06-2015"
"Mette Reissmann","Socialdemokratiet","Københavns Storkreds","http://www.facebook.com/mettereissmann","Mette Reissmann",6108,862,"08-06-2015"
"Mette Thiesen","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/mette.thiesen","Mette Thiesen",2867,893,"08-06-2015"
"Mia Nyegaard","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/mianyegaardft","Mia Nyegaard",1083,144,"08-06-2015"
"Michael Aastrup Jensen","Venstre","Østjyllands Storkreds","https://www.facebook.com/michaelaastrup","Michael Aastrup Jensen",5994,805,"08-06-2015"
"Michael Blem Clausen","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/michael.blemclausen","Michael Blem Clausen",1023,226,"08-06-2015"
"Michael Jellesmark","Venstre","Københavns Storkreds","https://www.facebook.com/pages/Michael-Jellesmark/573681519405216","Michael Jellesmark",172,121,"08-06-2015"
"Michael Melchert","Liberal Alliance","Københavns Omegns Storkreds","https://www.facebook.com/Melchert.dk","Michael Melchert",175,73,"08-06-2015"
"Michael Nedersøe","Dansk Folkeparti","Østjyllands Storkreds","https://www.facebook.com/pages/Michael-Neders%C3%B8e-Dansk-Folkeparti/1448006052123626","Michael Nedersøe - Dansk Folkeparti",474,241,"08-06-2015"
"Mike Legarth","Det Konservative Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/mike.legarth","Mike Legarth",12546,1294,"08-06-2015"
"Miki Dam Larsen","Socialdemokratiet","Nordsjællands Storkreds","https://www.facebook.com/miki.dam.larsen","Miki Dam Larsen",2181,316,"08-06-2015"
"Mikkel Dragmose-Hansen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/pages/Mikkel-Dragmose-Hansen/55402727258","Mikkel Dragmose-Hansen",1405,351,"08-06-2015"
